STUDY_ID,REVIEWERS,INCLUDE,Record.Number,Author,Year,Title,Abstract,Reference.Type,Journal,Volume,Pages,Issue,Keywords,Accession.Number,DOI,ISSN
1,Jonny,maybe,2770,,2012,"Notes from the field: Highly pathogenic avian influenza A (H7N3) virus infection in two poultry workers--Jalisco, Mexico, July 2012","During June-August 2012, Mexico's National Service for Health, Safety, and Food Quality reported outbreaks of highly pathogenic avian influenza (HPAI) A (H7N3) virus in poultry on farms throughout the state of Jalisco. This report describes two cases of conjunctivitis without fever or respiratory symptoms caused by HPAI A (H7N3) virus infection in humans associated with exposure to infected poultry.",Journal Article,MMWR Morb Mortal Wkly Rep,61,36,726-7,"Adult;Animals;*Conjunctivitis, Viral/diagnosis/drug therapy/pathology/transmission;Female;Humans;Influenza A Virus, H7N3 Subtype/*isolation & purification;Influenza in Birds/transmission;*Influenza, Human/diagnosis/drug therapy/pathology/transmission;Male;Mexico;Middle Aged;*Occupational Exposure;Poultry;Zoonoses",22971746,,0149-2195
2,Jonny,maybe,3054,"Abade Dos Santos, F. A.;Pinto, A.;Burgoyne, T.;Dalton, K. P.;Carvalho, C. L.;Ramilo, D. W.;Carneiro, C.;Carvalho, T.;Peleteiro, M. C.;Parra, F.;Duarte, M. D.",2022,Spillover events of rabbit haemorrhagic disease virus 2 (recombinant GI.4P-GI.2) from Lagomorpha to Eurasian badger,"Rabbit haemorrhagic disease (RHD) is a major threat to domestic and wild European rabbits. Presently, in Europe, the disease is caused mainly by Rabbit haemorrhagic disease virus 2 (RHDV2/b or Lagovirus europaeus GI.2), the origin of which is still unclear, as no RHDV2 reservoir hosts were identified. After the RHDV2 emergence in 2010, viral RNA was detected in a few rodent species. Furthermore, RHDV2 was found to cause disease in some hare species resembling the disease in rabbits, evidencing the ability of the virus to cross the species barrier. In this study, through molecular, histopathologic, antigenic and morphological evidences, we demonstrate the presence and replication of RHDV2 in Eurasian badgers (Meles meles) found dead in the district of Santar?m, Portugal, between March 2017 and January 2020. In these animals, we further classify the RHDV2 as a Lagovirus europaeus recombinant GI.4P-GI.2. Our results indicate that Meles meles is susceptible to RHDV2, developing systemic infection, and excreting the virus in the faeces. Given the high viral loads seen in several organs and matrices, we believe that transmission to the wild rabbit is likely. Furthermore, transmission electron microscopy data show the presence of calicivirus compatible virions in the nucleus of hepatocytes, which constitutes a paradigm shift for caliciviruses' replication cycle.",Journal Article,Transbound Emerg Dis,69,3,1030-1045,"Animals;*Caliciviridae Infections/veterinary;*Hemorrhagic Disease Virus, Rabbit/genetics;*Lagomorpha;*Lagovirus;*Mustelidae;Phylogeny;Rabbits;Meles meles;Eurasian badger;Gi.2;RHDV2/b;recombinant GI.4P-GI.2;spillover event",33683820,10.1111/tbed.14059,1865-1674
3,Jonny,NO,5085,"Abakar, M. F.;Nar?, N. B.;Schelling, E.;Hattendorf, J.;Alfaroukh, I. O.;Zinsstag, J.",2014,"Seroprevalence of Rift Valley fever, Q fever, and brucellosis in ruminants on the southeastern shore of Lake Chad","The seroprevalence of Rift Valley fever (RVF), brucellosis, and Q fever among domestic ruminants on the southeastern shore of Lake Chad was studied. The study area consisted of two parts, including mainland and islands. On the mainland, the study was conducted in nine randomly selected villages and camps. On the islands, samples were collected from all four available sites. A total of 985 serum samples were collected and 924 were analyzed using enzyme-linked immunosorbent assay (ELISA) for RVF. A total of 561 samples collected from islands were analyzed using ELISA for Q fever and both ELISA and Rose Bengal tests (RBT) for brucellosis. The apparent RVF seroprevalence by species was 37.8% (95% confidence interval [CI] 34.2-41.3) in cattle, 18.8% (95% CI 12.3-25.2) in goats, and 10.8% (95% CI 3.0-18.5) in sheep. For brucellosis and Q fever, only cattle samples from islands were analyzed. For Q fever, the apparent seroprevalence was 7.8% (95% CI 5.6-10.1). For brucellosis, the RBT showed a prevalence of 5.7% (95% CI 3.8-7.6), and ELISA showed 11.9% (95% CI 9.3-14.6) with a kappa value of 0.53 showing a moderate agreement between the two tests. This study confirms the presence of the three diseases in the study area. More research is required to assess the importance for public health and conservation of the Kouri cattle breed.",Journal Article,Vector Borne Zoonotic Dis,14,10,757-62,"Age Factors;Animals;Antibodies, Bacterial/blood;Antibodies, Viral/blood;Brucella/immunology;Brucellosis/epidemiology/microbiology/*veterinary;Cattle;Cattle Diseases/*epidemiology/microbiology/virology;Chad/epidemiology;Coxiella burnetii/immunology;Female;Geography;Goat Diseases/*epidemiology/microbiology/virology;Goats;Lakes;Male;Pilot Projects;Q Fever/epidemiology/microbiology/*veterinary;Rift Valley Fever/*epidemiology/virology;Rift Valley fever virus/immunology;Seroepidemiologic Studies;Sheep;Sheep Diseases/*epidemiology/microbiology/virology;Zoonoses;Brucellosis;Domestic ruminants;Lake Chad;Q fever;Rift Valley Fever;Serology",25325320,10.1089/vbz.2014.1585,1530-3667
4,Jonny,maybe,1401,"Abbad, A.;Perera, R. A.;Anga, L.;Faouzi, A.;Minh, N. N. T.;Malik, Smmr;Iounes, N.;Maaroufi, A.;Van Kerkhove, M. D.;Peiris, M.;Nourlil, J.",2019,"Middle East respiratory syndrome coronavirus (MERS-CoV) neutralising antibodies in a high-risk human population, Morocco, November 2017 to January 2018","BackgroundMiddle East respiratory syndrome coronavirus (MERS-CoV) remains a major concern for global public health. Dromedaries are the source of human zoonotic infection. MERS-CoV is enzootic among dromedaries on the Arabian Peninsula, the Middle East and in Africa. Over 70% of infected dromedaries are found in Africa. However, all known zoonotic cases of MERS have occurred in the Arabian Peninsula with none being reported in Africa.AimWe aimed to investigate serological evidence of MERS-CoV infection in humans living in camel-herding areas in Morocco to provide insights on whether zoonotic transmission is taking place.MethodsWe carried out a cross sectional seroprevalence study from November 2017 through January 2018. We adapted a generic World Health Organization MERS-CoV questionnaire and protocol to assess demographic and risk factors of infection among a presumed high-risk population. ELISA, MERS-CoV spike pseudoparticle neutralisation tests (ppNT) and plaque neutralisation tests (PRNT) were used to assess MERS-CoV seropositivity.ResultsSerum samples were collected from camel slaughterhouse workers (n?=?137), camel herders (n?=?156) and individuals of the general population without occupational contact with camels but living in camel herding areas (n?=?186). MERS-CoV neutralising antibodies with???90% reduction of plaque numbers were detected in two (1.5%) slaughterhouse workers, none of the camel herders and one individual from the general population (0.5%).ConclusionsThis study provides evidence of zoonotic transmission of MERS-CoV in Morocco in people who have direct or indirect exposure to dromedary camels.",Journal Article,Euro Surveill,24,48,,"Abattoirs;Adolescent;Adult;Aged;Aged, 80 and over;Animals;Antibodies, Neutralizing/*blood;Antibodies, Viral/blood;Camelus/*virology;Coronavirus Infections/blood/*diagnosis/epidemiology/transmission;Cross-Sectional Studies;Disease Reservoirs/*veterinary/virology;Enzyme-Linked Immunosorbent Assay;Humans;Immunoglobulin G/blood;Middle Aged;Middle East Respiratory Syndrome Coronavirus/genetics/immunology/*isolation &;purification;Morocco/epidemiology;Neutralization Tests;*Occupational Exposure;Occupations;RNA, Viral/genetics/*isolation & purification;Risk Factors;Seroepidemiologic Studies;Zoonoses/*transmission/virology;MERS-CoV;Middle East Respiratory Syndrome Coronavirus;Morocco;dromedaries;transmission;zoonosis",31796154,10.2807/1560-7917.Es.2019.24.48.1900244,1025-496X (Print);1025-496x
5,Jonny,NO,5429,"Aberle, S. W.;Kolodziejek, J.;Jungbauer, C.;Stiasny, K.;Aberle, J. H.;Zoufaly, A.;Hourfar, M. K.;Weidner, L.;Nowotny, N.",2018,"Increase in human West Nile and Usutu virus infections, Austria, 2018","Between 28 June and 17 September 2018, 27 cases of human West Nile virus infections were recorded in Austria; four cases of West Nile neuroinvasive disease, 11 cases of West Nile fever, six infections detected by blood donation screening and six imported cases. In addition, 18 cases of human Usutu virus infections (all blood donors) were recorded. This is the highest number of annual infections recorded in Austria since the introduction of both viruses.",Journal Article,Euro Surveill,23,43,,Austria/epidemiology;*Disease Notification;Flavivirus/*isolation & purification;Flavivirus Infections/*diagnosis/epidemiology;Humans;West Nile Fever/*diagnosis/epidemiology;West Nile virus/*isolation & purification;*Austria;*Usutu virus;*West Nile fever;*West Nile neuroinvasive disease;*West Nile virus;*blood donor,30376913,10.2807/1560-7917.Es.2018.23.43.1800545,1025-496X (Print);1025-496x
6,Jonny,NO,515,"Abravanel, F.;Lhomme, S.;El Costa, H.;Schvartz, B.;Peron, J. M.;Kamar, N.;Izopet, J.",2017,"Rabbit Hepatitis E Virus Infections in Humans, France","Hepatitis E virus (HEV) has been detected in rabbits, but whether rabbit HEV strains can be transmitted to humans is not known. Of 919 HEV-infected patients in France during 2015-2016, five were infected with a rabbit HEV strain. None of the patients had direct contact with rabbits, suggesting foodborne or waterborne infections.",Journal Article,Emerg Infect Dis,23,7,1191-1193,"Adult;Animals;France/epidemiology;Genotype;Hepatitis E/diagnosis/epidemiology/*transmission/*virology;Hepatitis E virus/*classification/*genetics;Humans;Immunocompromised Host;Male;Middle Aged;Phylogeny;RNA, Viral;Rabbits;Zoonoses/diagnosis/epidemiology/*transmission/*virology;*France;*hev;*chronic infections;*hepatitis;*hepatitis E;*hepatitis E virus;*humans;*infections;*rabbit hepatitis E virus;*rabbits;*ribavirin;*viruses;*zoonoses",28628452,10.3201/eid2307.170318,1080-6040 (Print);1080-6040
7,Jonny,NO,3789,"Achenbach, J. E.;Bowen, R. A.",2011,Transmission of avian influenza A viruses among species in an artificial barnyard,"Waterfowl and shorebirds harbor and shed all hemagglutinin and neuraminidase subtypes of influenza A viruses and interact in nature with a broad range of other avian and mammalian species to which they might transmit such viruses. Estimating the efficiency and importance of such cross-species transmission using epidemiological approaches is difficult. We therefore addressed this question by studying transmission of low pathogenic H5 and H7 viruses from infected ducks to other common animals in a quasi-natural laboratory environment designed to mimic a common barnyard. Mallards (Anas platyrhynchos) recently infected with H5N2 or H7N3 viruses were introduced into a room housing other mallards plus chickens, blackbirds, rats and pigeons, and transmission was assessed by monitoring virus shedding (ducks) or seroconversion (other species) over the following 4 weeks. Additional animals of each species were directly inoculated with virus to characterize the effect of a known exposure. In both barnyard experiments, virus accumulated to high titers in the shared water pool. The H5N2 virus was transmitted from infected ducks to other ducks and chickens in the room either directly or through environmental contamination, but not to rats or blackbirds. Ducks infected with the H7N2 virus transmitted directly or indirectly to all other species present. Chickens and blackbirds directly inoculated with these viruses shed significant amounts of virus and seroconverted; rats and pigeons developed antiviral antibodies, but, except for one pigeon, failed to shed virus.",Journal Article,PLoS One,6,3,e17643,"Animals;Chickens;Columbidae;Ducks;Influenza A virus/*pathogenicity;Influenza in Birds/*transmission/*virology;Poultry Diseases/virology;Rats;Rats, Sprague-Dawley;Virus Shedding",21483843,10.1371/journal.pone.0017643,1932-6203
8,Jonny,maybe,3588,"Acosta, J.;Galimberti, A.;Marziali, F.;Costaguta, A.;Bessone, F.;Tanno, H.;Gardiol, D.;Reggiardo, M. V.;Cavatorta, A. L.",2022,Zoonotic transmission of hepatitis E virus in a pig farmer from Argentina: A case report,"Hepatitis E virus (HEV) is a public health concern due to its zoonotic transmission to human, being pigs a highly recognized reservoir. We previously demonstrated HEV genotype 3 infections in pig herds from the highest commercial active region from Argentina. Here, we present a case of acute symptomatic hepatitis E in an elderly man with occupational exposure to pigs who referred regular consumption of pork and sausages. HEV infection in this patient was demonstrated by serological methods, as well as by HEV RNA detection in serum and stool samples using the HEV/MS2 duplex RT-qPCR, formerly optimized in our laboratory. We further detected HEV RNA in pig faeces from the patient?s farm. To confirm the potential role of swine in the transmission, we performed a phylogenetic analysis of all HEV RNA derived from both, the patient and the pig samples. A 303 nt region within the HEV 5 'ORF2 was amplified by nested RT-PCR and subsequently sequenced. Phylogenetic analysis showed that the strains isolated from the farmer and from his pigs presented a nucleotide identity of 100%. These results support the zoonotic transmission of circulating HEV strains and confirm this epidemiological association for the first time in Argentina.",Journal Article,Zoonoses Public Health,69,3,235-241,"Animals;Argentina/epidemiology;Farmers;Genotype;*Hepatitis E/epidemiology/veterinary;*Hepatitis E virus;Humans;Phylogeny;Rna;RNA, Viral/analysis/genetics;Real-Time Polymerase Chain Reaction/veterinary;Swine;*Swine Diseases;*hev;*hepatitis E;*one health;*public health;*zoonoses",34941019,10.1111/zph.12902,1863-1959
9,Jonny,maybe,2313,"Adah, M. I.;Jaji, Z.;Agwazim, B. F.;el-Yuguda, A. D.;Mani, A. U.",2002,Detection of human rotavirus in faeces from diarrhoeic calves in north-east Nigeria,"Information on the epidemiology of rotavirus in any particular area is necessary for vaccine development against the disease caused by the virus. This study presents preliminary information on the prevalence of human rotavirus in diarrhoeic calves in North-east Nigeria. Faecal samples from 188 diarrhoeic calves in various farms in North-east Nigeria, obtained between November 1998 and February 1999, were analysed by ELISA for the presence of rotaviruses. A prevalence rate of 3.2% was recorded, with the virus being prevalent among calves aged 29-56 days (p < 0.05). The implications of these findings are discussed with respect to the close association between the herdsmen and their animals and the sharing of a common source of drinking water in the predominantly livestock-producing communities of North-east Nigeria.",Journal Article,Trop Anim Health Prod,34,1,01-Jun,"Animal Husbandry/methods;Animals;Animals, Newborn;Antigens, Viral/analysis;Cattle;Cattle Diseases/*epidemiology/virology;Diarrhea/epidemiology/*veterinary/virology;Drinking;Enzyme-Linked Immunosorbent Assay/veterinary;Feces/*virology;Female;Humans;Male;Nigeria/epidemiology;Prevalence;Rotavirus/immunology/*isolation & purification;Rotavirus Infections/epidemiology/*veterinary;Water Microbiology;Zoonoses",11887417,10.1023/a:1013708325468,0049-4747 (Print);0049-4747
10,Jonny,NO,6859,"Adamu, A. M.;Enem, S. I.;Ngbede, E. O.;Owolodun, O. A.;Dzikwi, A. A.;Ajagbe, O. A.;Datong, D. D.;Bello, G. S.;Kore, M.;Yikawe, S. S.;Allam, L.;Simon, A. Y.",2020,Serosurvey on Sheep Unravel Circulation of Rift Valley Fever Virus in Nigeria,"Rift Valley fever is an arboviral zoonoses causing severe morbidity and mortality among humans and animals in many African countries. A cross-sectional study in populations of sheep reared around the Gidan-Waya Forest Reserve located in Jema'a LGA of Kaduna State, Nigeria to determine the serological evidence of exposure to Rift Valley fever virus (RVFV) using a commercial competitive enzyme-linked immunosorbent assay. Of the 200 sheep sampled, 9 (4.5%; 95 CI 2.23-8.33) were positive for antibodies to the RVFV. The detection of antibodies suggests a covert circulation among the sheep and may be indicative of a subclinical infection.",Journal Article,Ecohealth,17,3,393-397,"Animals;Antibodies, Viral/isolation & purification;Cross-Sectional Studies;Enzyme-Linked Immunosorbent Assay;Feces/microbiology;Female;Male;Nigeria;Rift Valley Fever/diagnosis/*transmission;Rift Valley fever virus/*isolation & purification;Sheep/*microbiology;Sheep Diseases/*transmission;*Enzyme linked immunosorbent assay;*Nigeria;*Rift Valley fever virus;*Sheep",33106981,10.1007/s10393-020-01490-z,1612-9202
